variant,date,setup,side,entry_5m_ix,entry_px,stop,tp1,tp2,sl_dist,pm_final,quant,red_team,regime,voice_agree,exit_px,exit_reason,pnl_r,pnl_dollars,bars_5m,mfe_r,mae_r
v3_4_fib_partial_pm30,2023-01-17,EMA PB,long,29,11737.50,11550.87,11924.13,12017.44,186.63,33.4,33.4,0.0,RISK-ON,7,11793.49,trail_lock,0.300,111.98,11,0.68,-0.98
v3_4_fib_partial_pm30,2023-01-20,EMA PB,long,77,11747.00,11584.64,11909.36,11990.54,162.36,36.2,36.2,0.0,RISK-ON,8,11747.00,session_end,0.000,0.00,0,0.00,0.00
v3_4_fib_partial_pm30,2023-01-23,ORB,long,15,11904.75,11669.19,11913.14,11974.39,235.56,37.5,37.5,0.0,RISK-ON,8,11974.39,tp2_partial,0.648,305.19,0,1.02,0.00
v3_4_fib_partial_pm30,2023-01-25,EMA PB,short,14,11685.25,11803.22,11567.28,11508.30,117.97,30.3,-30.3,0.0,RISK-ON,7,11803.22,stop,-1.000,-235.94,0,0.07,-1.05
v3_4_fib_partial_pm30,2023-01-27,ORB,long,45,12346.75,12017.12,12281.20,12346.34,329.63,31.5,31.5,0.0,RISK-ON,6,12346.75,tp1_then_be,0.500,329.63,1,0.00,-0.44
v3_4_fib_partial_pm30,2023-02-01,EMA PB,long,17,12279.50,12085.45,12473.55,12570.57,194.05,32.5,32.5,0.0,RISK-ON,7,12085.45,stop,-1.000,-388.10,11,0.00,-1.02
v3_4_fib_partial_pm30,2023-02-01,ORB,long,69,12290.75,12085.05,12321.87,12381.82,205.70,40.2,40.2,0.0,RISK-ON,8,12085.05,stop,-1.000,-411.41,2,0.07,-1.05
v3_4_fib_partial_pm30,2023-02-06,EMA PB,long,35,12722.50,12490.41,12954.59,13070.63,232.09,33.0,33.0,0.0,RISK-ON,7,12549.00,timeout,0.000,0.00,12,0.03,-0.87
v3_4_fib_partial_pm30,2023-02-13,EMA PB,long,13,12515.00,12329.30,12700.70,12793.55,185.70,32.0,32.0,0.0,RISK-ON,7,12515.00,tp1_then_be,0.500,185.70,1,1.80,-0.69
v3_4_fib_partial_pm30,2023-02-28,EMA PB,long,75,12285.75,12076.84,12494.66,12599.12,208.91,32.0,32.0,0.0,RISK-ON,7,12123.75,session_end,0.000,0.00,2,0.00,-0.80
v3_4_fib_partial_pm30,2023-03-01,ORB,short,31,11944.75,12334.47,11921.04,11815.51,389.72,34.4,-34.4,0.0,RISK-ON,7,12018.00,timeout,0.000,0.00,20,0.05,-0.82
v3_4_fib_partial_pm30,2023-03-02,EMA PB,long,28,12057.50,11833.55,12281.45,12393.42,223.95,32.3,32.3,0.0,RISK-ON,7,11893.75,timeout,0.000,0.00,12,0.47,-0.77
v3_4_fib_partial_pm30,2023-03-03,ORB,long,15,12431.00,12074.54,12323.42,12381.21,356.46,30.6,30.6,0.0,NEUTRAL,7,12431.00,tp1_then_be,0.500,356.46,1,0.00,-0.75
v3_4_fib_partial_pm30,2023-03-09,ORB,long,24,12472.50,12211.22,12482.47,12548.91,261.28,35.7,35.7,0.0,RISK-ON,7,12472.50,tp1_then_be,0.500,261.28,8,0.52,-0.72
v3_4_fib_partial_pm30,2023-03-24,EMA PB,long,77,13021.00,12855.31,13186.69,13269.53,165.69,31.8,31.8,0.0,RISK-ON,7,13021.00,session_end,0.000,0.00,0,0.00,0.00
v3_4_fib_partial_pm30,2023-07-06,EMA PB,long,63,15443.00,15211.97,15674.03,15789.55,231.03,33.0,33.0,0.0,NEUTRAL,9,15237.50,timeout,0.000,0.00,12,0.01,-0.95
v3_4_fib_partial_pm30,2023-07-26,EMA PB,long,64,15852.25,15590.01,16114.49,16245.61,262.24,30.2,30.2,0.0,RISK-ON,8,15590.01,stop,-1.000,-524.49,2,0.00,-1.08
v3_4_fib_partial_pm30,2023-11-06,EMA PB,long,31,15428.25,15172.00,15684.50,15812.62,256.25,33.4,33.4,0.0,RISK-ON,7,15402.00,timeout,0.000,0.00,12,0.00,-0.90
v3_4_fib_partial_pm30,2023-11-09,EMA PB,long,29,15585.00,15314.37,15855.63,15990.94,270.63,33.1,33.1,0.0,RISK-ON,7,15666.19,trail_lock,0.300,162.38,9,0.83,-0.73
v3_4_fib_partial_pm30,2023-11-14,ORB,long,16,16258.75,15761.50,16106.17,16189.38,497.25,44.4,44.4,0.0,RISK-ON,8,16258.75,tp1_then_be,0.500,497.25,1,0.02,-0.83
v3_4_fib_partial_pm30,2023-11-15,ORB,short,16,15919.00,16410.15,15818.88,15672.43,491.15,34.5,-34.5,0.0,RISK-ON,6,16345.00,timeout,0.000,0.00,20,0.02,-0.90
v3_4_fib_partial_pm30,2023-11-16,EMA PB,long,14,16052.25,15706.85,16397.65,16570.35,345.40,30.2,30.2,0.0,RISK-ON,6,15838.25,timeout,0.000,0.00,12,0.56,-0.64
v3_4_fib_partial_pm30,2023-11-17,ORB,long,16,16283.00,15794.64,16393.09,16545.85,488.36,35.2,35.2,0.0,RISK-ON,7,15854.25,timeout,0.000,0.00,20,0.00,-0.94
v3_4_fib_partial_pm30,2023-11-22,ORB,short,16,16059.00,16586.54,15939.08,15773.17,527.54,46.0,-46.0,0.0,RISK-ON,7,16063.00,timeout,0.000,0.00,20,0.10,-0.84
v3_4_fib_partial_pm30,2023-11-27,EMA PB,long,27,16455.25,16106.37,16804.13,16978.57,348.88,33.0,33.0,0.0,RISK-ON,7,16106.37,stop,-1.000,-697.75,0,0.00,-1.20
v3_4_fib_partial_pm30,2023-11-28,ORB,short,16,15960.00,16235.64,15920.37,15842.60,275.64,32.0,-32.0,0.0,RISK-ON,6,16235.64,stop,-1.000,-551.27,9,0.00,-1.03
v3_4_fib_partial_pm30,2023-11-29,ORB,long,19,16528.25,16120.77,16472.07,16557.71,407.48,39.6,39.6,0.0,RISK-ON,8,16120.77,stop,-1.000,-814.97,0,0.00,-1.02
v3_4_fib_partial_pm30,2023-12-06,EMA PB,short,17,15948.75,16360.70,15536.80,15330.83,411.95,31.3,-31.3,0.0,RISK-ON,8,16141.00,timeout,0.000,0.00,12,0.17,-0.92
v3_4_fib_partial_pm30,2023-12-07,ORB,short,15,15911.00,16416.25,15821.73,15670.96,505.25,33.0,-33.0,0.0,RISK-ON,6,16416.25,stop,-1.000,-1010.49,15,0.01,-1.00
v3_4_fib_partial_pm30,2023-12-28,EMA PB,short,16,17118.00,17370.68,16865.32,16738.97,252.68,30.4,-30.4,0.0,RISK-ON,8,17370.68,stop,-1.000,-505.37,4,0.06,-1.51
v3_4_fib_partial_pm30,2024-01-02,ORB,short,15,16737.25,17100.66,16685.99,16581.67,363.41,50.5,-50.5,0.0,RISK-ON,8,16766.75,timeout,0.000,0.00,20,0.13,-0.94
v3_4_fib_partial_pm30,2024-01-03,ORB,short,25,16548.00,16980.06,16500.62,16377.71,432.06,34.2,-34.2,0.0,RISK-ON,7,16551.75,timeout,0.000,0.00,20,0.00,-0.93
v3_4_fib_partial_pm30,2024-01-09,EMA PB,long,72,17038.50,16780.96,17296.04,17424.81,257.54,35.4,35.4,0.0,NEUTRAL,9,16828.50,session_end,0.000,0.00,5,0.00,-0.90
v3_4_fib_partial_pm30,2024-01-12,EMA PB,long,19,17199.25,16819.53,17578.97,17768.83,379.72,30.9,30.9,0.0,RISK-ON,6,17183.00,timeout,0.000,0.00,12,0.35,-0.75
