time,open,high,low,close,volume
1675180800,12074.25,12092.25,12074.25,12087.5,7349
1675181100,12087.25,12088.0,12074.25,12080.25,3824
1675181400,12080.5,12080.75,12063.5,12071.0,4441
1675181700,12069.75,12081.25,12067.0,12076.25,3669
1675182000,12076.5,12083.25,12067.25,12077.0,3846
1675182300,12077.0,12089.5,12067.75,12083.75,3526
1675182600,12083.75,12094.0,12077.5,12079.75,4015
1675182900,12079.25,12096.25,12076.0,12080.75,4139
1675183200,12080.75,12087.75,12072.75,12074.25,3279
1675183500,12074.5,12082.25,12060.25,12065.5,4323
1675183800,12065.5,12079.75,12060.5,12076.75,3873
1675184100,12077.0,12081.0,12067.0,12067.5,3004
1675184400,12067.75,12069.75,12041.75,12060.0,5939
1675184700,12059.5,12068.5,12049.75,12065.0,3292
1675185000,12065.0,12070.75,12055.0,12063.5,2799
1675185300,12063.75,12089.75,12061.0,12084.25,5405
1675185600,12083.75,12087.75,12070.0,12075.5,3387
1675185900,12075.5,12079.5,12071.5,12075.25,2154
1675186200,12075.5,12077.25,12065.0,12074.25,2321
1675186500,12074.25,12089.0,12069.5,12085.75,4477
1675186800,12085.5,12093.25,12085.25,12087.75,3491
1675187100,12087.75,12093.5,12086.5,12087.75,2519
1675187400,12087.5,12095.0,12081.25,12091.75,2972
1675187700,12092.0,12094.0,12081.25,12086.25,2559
1675188000,12086.5,12090.0,12078.25,12088.0,2265
1675188300,12087.5,12092.25,12083.5,12084.5,1885
1675188600,12084.25,12089.0,12074.5,12082.75,2284
1675188900,12082.5,12083.25,12074.75,12079.75,1743
1675189200,12079.75,12083.0,12059.75,12063.0,3288
1675189500,12063.0,12076.75,12061.0,12075.5,3093
1675189800,12075.75,12080.0,12070.75,12074.75,2345
1675190100,12074.5,12076.25,12062.25,12070.25,2263
1675190400,12070.0,12081.5,12069.75,12077.5,2608
1675190700,12077.5,12100.75,12075.5,12096.75,5800
1675191000,12096.75,12101.25,12092.25,12095.25,3365
1675191300,12095.5,12099.25,12094.5,12095.25,2460
1675191600,12095.25,12102.25,12088.5,12090.75,4437
1675191900,12090.75,12107.25,12089.5,12105.25,3727
1675192200,12105.5,12106.5,12094.25,12098.0,2830
1675192500,12097.75,12099.5,12088.25,12092.25,3159
1675192800,12092.25,12100.75,12091.5,12095.75,2481
1675193100,12095.75,12103.0,12093.25,12101.0,1925
1675193400,12101.0,12108.75,12096.75,12101.25,3743
1675193700,12101.5,12106.5,12095.75,12103.5,2512
1675194000,12103.0,12112.0,12101.25,12108.75,3764
1675194300,12108.75,12112.25,12103.25,12110.5,2544
1675194600,12110.75,12119.0,12108.0,12111.25,4388
1675194900,12111.25,12115.5,12107.25,12111.25,3358
1675195200,12111.5,12124.5,12109.5,12118.75,4700
1675195500,12119.75,12125.0,12111.25,12111.5,3888
1675195800,12111.75,12114.25,12092.0,12096.25,5762
1675196100,12096.5,12097.25,12077.0,12085.5,5962
1675196400,12085.75,12093.0,12082.5,12084.75,3937
1675196700,12085.0,12088.75,12072.25,12076.75,4814
1675197000,12076.75,12093.5,12075.75,12091.75,4860
1675197300,12091.75,12096.5,12086.75,12089.5,4112
1675197600,12089.75,12100.25,12087.25,12099.75,5104
1675197900,12099.75,12105.75,12091.25,12094.25,6836
1675198200,12094.25,12137.0,12093.75,12135.0,12392
1675198500,12135.0,12156.0,12113.5,12153.5,27135
1675198800,12153.5,12154.75,12138.0,12143.0,8520
1675199100,12143.0,12152.25,12141.5,12147.25,2992
1675199400,12147.25,12147.25,12110.25,12111.5,6193
1675199700,12112.25,12127.5,12109.0,12121.0,2887
1675200000,12121.0,12126.0,12119.25,12122.75,762
1675200300,12122.25,12127.5,12120.5,12124.25,797
1675200600,12124.75,12125.0,12118.25,12119.5,488
1675200900,12119.25,12126.75,12118.75,12124.25,409
1675201200,12124.0,12124.25,12117.5,12119.5,444
1675201500,12119.25,12119.25,12114.25,12115.5,557
1675201800,12114.75,12116.75,12110.5,12111.75,527
1675202100,12111.25,12120.25,12110.25,12119.25,422
1675206000,12116.0,12119.25,12109.0,12110.5,678
1675206300,12110.25,12113.0,12108.0,12110.75,290
1675206600,12110.75,12111.5,12099.5,12101.5,611
1675206900,12101.25,12104.25,12100.25,12102.25,325
1675207200,12102.75,12107.0,12101.25,12104.5,283
1675207500,12105.0,12105.25,12101.75,12102.0,164
1675207800,12101.75,12102.5,12096.25,12098.75,443
1675208100,12099.0,12100.25,12095.5,12097.5,162
1675208400,12097.5,12102.0,12097.25,12098.0,259
1675208700,12098.0,12103.5,12098.0,12102.75,242
1675209000,12102.75,12111.0,12102.5,12109.0,472
1675209300,12109.75,12109.75,12102.5,12103.25,191
1675209600,12103.0,12122.75,12099.5,12106.75,968
1675209900,12106.5,12109.25,12101.5,12102.5,421
1675210200,12102.75,12102.75,12096.75,12099.0,309
1675210500,12098.75,12100.5,12092.0,12095.75,427
1675210800,12095.5,12096.75,12092.25,12094.25,388
1675211100,12094.0,12094.25,12090.25,12091.25,339
1675211400,12091.75,12095.25,12090.0,12093.25,403
1675211700,12094.25,12094.5,12090.5,12094.0,228
1675212000,12094.25,12096.25,12091.0,12095.25,259
1675212300,12095.75,12099.75,12089.75,12091.75,566
1675212600,12091.5,12093.0,12089.25,12089.75,200
1675212900,12090.0,12091.25,12086.75,12088.5,407
1675213200,12088.0,12089.75,12084.75,12089.75,238
1675213500,12089.75,12091.0,12087.0,12090.75,281
1675213800,12091.0,12092.5,12088.75,12091.0,169
1675214100,12092.0,12092.75,12089.25,12091.5,111
